420151;Лесной;Вишневая;32
125061;Лесной;Подгорная;8
630370;Лесной;Шоссейная;24
400562;Лесной;Зеленая;32
614510;Лесной;Маяковского;47
410542;Лесной;Светлая;46
620839;Лесной;Цветочная;8
443890;Лесной;Коммунистическая;1
603379;Лесной;Спортивная;46
603721;Лесной;Гоголя;41
410172;Лесной;Северная;13
614611;Лесной;Молодежная;50
454311;Лесной;Новая;19
660007;Лесной;Октябрьская;19
603036;Лесной;Садовая;4
394060;Лесной;Фрунзе;43
410661;Лесной;Школьная;50
625590;Лесной;Коммунистическая;20
625683;Лесной;8 Марта;
450983;Лесной;Комсомольская;26
394782;Лесной;Чехова;3
603002;Лесной;Дзержинского;28
450558;Лесной;Набережная;30
344288;Лесной;Чехова;1
614164;Лесной;Степная;30
394242;Лесной;Коммунистическая;43
660540;Лесной;Солнечная;25
125837;Лесной;Шоссейная;40
125703;Лесной;Партизанская;49
625283;Лесной;Победы;46
614753;Лесной;Полевая;35
426030;Лесной;Маяковского;44
450375;Лесной;Клубная;44
625560;Лесной;Некрасова;12
630201;Лесной;Комсомольская;17
190949;Лесной;Мичурина;26
